B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
BM60CB ,Italy , Battle Rifle , 7.62 mm NATO: BM59 w/ 3rd Burst,,
Concari ,Italy , Single Shot Rifle,,,
Cx4 Storm ,Italy , Semi,Auto Carbine , 9 × 19 mm Parabellum; .40 S&W;.45 ACP,
M1 ,Italy , Semi,Auto Rifle , 7.62 mm NATO ; .30'06: Licensed Production of M1 Garand,
M1LS ,Italy , Semi,Auto Rifle , 7.62 mm NATO ;.30'06: Shortened M1 Garand,
Beretta M.781,,,,,
Model 18/30 ,Italy , Semi,Auto Carbine , 9 × 19 mm Glisenti,
Model 31 ,Italy , Semi,Auto Rifle , 6.5 × 52 mm Carcano,
Model 37 ,Italy , Semi,Auto Rifle , 7.35 × 51 mm Carcano,
Model 58 ,Italy , Carbine , .30 Carbine,,
Model 455 ,Italy , SxS Express Rifle , .375 Holland & Holland Magnum; .416 Rigby; .458 Winchester Magnum; .470 Nitro Express; .500 Nitro Express,,
Model 500 ,Italy , Bolt Action Rifle , .222 Remington ; .223 Remington,,
Model 501 ,Italy , Bolt Action Rifle , .243 Winchester ;.308 Winchester,,
Model 501 Sniper ,Italy , Bolt Action Rifle , 7.62 mm NATO,,
Model 502 ,Italy , Bolt Action Rifle , .270 Winchester; 7 mm Remington Magnum; .30,'06; .300 Winchester Magnum; .375 Holland & Holland Magnum,
Model 1953 Tahrir ,Italy , Semi,Auto Rifle , .22 LR: Egyptian Training Rifle,
Mato ,Italy , Bolt Action Rifle , .270 Winchester;.280 Remington; 7 mm Remington Magnum; .30,'06; .300 Winchester Magnum; .338 Winchester Magnum; .375 Holland & Holland Magnum,
Beretta P,30,,,,
Rx4 Storm ,Italy , Semi,Auto , .223 Remington,
S689 ,Italy , O/U Express Rifle ,0.3,'06; 9.3 × 74 mmR; .444 Marlin; 20 Gauge,
Sport ,Italy , Semi,Auto Rifle , .22 LR,
Olympia ,Italy , Semi,Auto Rifle , .22 LR,
Olympia X ,Italy , Semi,Auto Rifle , .22 LR,
Super Sport X ,Italy , Semi,Auto Rifle , .22 LR,
SS06 ,Italy , O/U Express Rifle , 9.3 × 74 mmR; .375 Holland & Holland Magnum; .458 Winchester Magnum,,
Super Olimpia ,Italy , Bolt Action Rifle , .22 LR,,
Unione ,Italy , Bolt Action Rifle , .22 LR,,
Beretta Shotguns,,,,,
A300 ,Italy , Semi,Auto Shotgun , 12 Gauge,
A301 ,Italy , Semi,Auto Shotgun , 20 Gauge ; 12 Gauge,
A302 ,Italy , Semi,Auto Shotgun , 20 Gauge ; 12 Gauge,
A303 ,Italy , Semi,Auto Shotgun , 20 Gauge ; 12 Gauge,
A304 ,Italy , Semi,Auto Shotgun , 12 Gauge,
A390 ,Italy , Semi,Auto Shotgun , 12 Gauge,
AL390 ,Italy , Semi,Auto Shotgun , 20 Gauge ; 12 Gauge,
AL391 ,Italy, Semi,Auto Shotgun , 20 Gauge ;12 Gauge,
A391 Xtrema 2 ,Italy, Semi,Auto Shotgun , 12 Gauge,
ASE ,Italy , O/U Shotgun,,,
ASEL ,Italy , O/U Shotgun,,,
DT10 ,Italy , O/U Shotgun , 12 Gauge,,
M3P ,Italy , Semi,Auto/Pump Action Shotgun , 12 Gauge,
Model 1 ,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Model 3 ,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Model 4 ,Italy , SxS Shotgun , 24 Gauge; 20 Gauge; 16 Gauge;12 Gauge,,
Model 5 ,Italy , SxS Shotgun,,,
Model 6 ,Italy , SxS Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Model 7 ,Italy , SxS Shotgun,,,
Model 9 ,Italy , SxS Shotgun , 24 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Model 10 ,Italy , SxS Shotgun , 16 Gauge;12 Gauge,,
Model 11 ,Italy , O/U Shotgun,,,
Model 12 ,Italy , Single Shot Shotgun , 28 Gauge; 24 Gauge; 20 Gauge; 16 Gauge;12 Gauge,,
Model 13 ,Italy , Single Shot Shotgun,,,
PB ,Italy , SxS Shotgun,,,
RS151 ,Italy , Pump Action Shotgun , 12 Gauge,,
RS200 ,Italy , Pump Action Shotgun , 12 Gauge,,
RS200,P ,Italy , Pump Action Shotgun , 12 Gauge,
RS202 ,Italy , Pump Action Shotgun , 12 Gauge,,
RS202,M1 ,Italy , Pump Action Shotgun , 12 Gauge,
RS202,M2 ,Italy , Pump Action Shotgun , 12 Gauge,
RS202,P ,Italy , Pump Action Shotgun , 12 Gauge,
Silver Pigeon ,Italy , O/U Shotgun , .410 Bore; 28 Gauge; 20 Gauge;12 Gauge,,
S1 ,Italy , O/U Shotgun,,,
S2 ,Italy , O/U Shotgun,,,
S3 ,Italy , O/U Shotgun,,,
S55 ,Italy , O/U Shotgun , 20 Gauge ; 12 Gauge,,
S56 ,Italy , O/U Shotgun , 20 Gauge ; 12 Gauge,,
S57 ,Italy , O/U Shotgun , 20 Gauge ; 12 Gauge,,
S58 ,Italy , O/U Shotgun , 12 Gauge,,
SO ,Italy , O/U Shotgun,,,
SO1 ,Italy , O/U Shotgun , 12 Gauge,,
